state_name,state_abbrev,county,lat county,long county,FIPS,county_id,lat (pop weighted) county,long (pop weighted) county,lat (pop weighted) state,long (pop weighted) state,County Time Zone Index,County Time Zone Name,iso_price_name,timezone
washington,wa,adams,46.982521,-118.561081,53001,1,46.80615616,-119.219986,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,asotin,46.214096,-117.179268,53003,2,46.40582657,-117.0530548,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,benton,46.243519,-119.508575,53005,3,46.21583176,-119.1339264,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,chelan,47.670498,-120.461281,53007,4,47.44242859,-120.3393097,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,clallam,48.079605,-123.921516,53009,5,48.08465958,-123.4720383,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,clark,45.780579,-122.486214,53011,6,45.64226532,-122.6166534,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,columbia,46.364689,-117.965591,53013,7,46.31961441,-117.9775238,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,cowlitz,46.176769,-122.804848,53015,8,46.13567352,-122.9362106,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,douglas,47.728382,-119.70475,53017,9,47.39728928,-120.2817993,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,ferry,48.497715,-118.524765,53019,10,48.63654709,-118.7273712,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,franklin,46.532757,-118.904747,53021,11,46.24805832,-119.1053314,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,garfield,46.506084,-117.548012,53023,12,46.48242569,-117.633255,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,grant,47.206692,-119.450577,53025,13,47.09782028,-119.2826691,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,grays_harbor,47.071285,-123.725159,53027,14,46.96340561,-123.8094254,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,island,48.162941,-122.548882,53029,15,48.29618454,-122.6500397,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
washington,wa,jefferson,47.79406,-123.427902,53031,16,48.10663223,-122.7773132,47.606209,-122.332071,0,Pacific,,America/Los_Angeles
